id,name,url,id_commerce,reg_date
44,"Dientes Blancos",https://www.buscalibre.cl/libro-dientes-blancos/9788478886869/p/996952,1,"2020-09-21 16:46:46"
45,Middlesex,https://www.buscalibre.cl/libro-middlesex/9788433976994/p/14871294,1,"2020-09-21 16:46:48"
46,"La Gran Guerra",https://www.buscalibre.cl/libro-la-gran-guerra/9788439727514/p/39259251,1,"2020-09-21 16:46:49"
47,"Princesas al Poder",https://www.buscalibre.cl/libro-princesas-al-poder/9789562571807/p/51162688,1,"2020-09-21 16:46:52"
48,"Donde Viven los Monstruos",https://www.buscalibre.cl/libro-donde-viven-los-monstruos/9788484648581/p/40773629,1,"2020-09-21 16:46:54"
49,"Mickey a Travï¿ ½S de los Siglos",https://www.buscalibre.cl/libro-mickey-a-travi-s-de-los-siglos/9788491736875/p/52089135,1,"2020-09-21 16:46:56"
50,"Sin City. Edición Integral Vol. 2",https://www.buscalibre.cl/libro-sin-city-edicion-integral-vol-2/9788467904680/p/4580217,1,"2020-09-21 16:47:00"
51,"Spiderman: Toda una Vida",https://www.buscalibre.cl/libro-spiderman-toda-una-vida/9788413342597/p/52324084,1,"2020-09-21 16:47:03"
52,"Bone,Vol. 1: Lejos de Boneville",https://www.buscalibre.cl/libro-bonevol-1-lejos-de-boneville/9788493508890/p/1973087,1,"2020-09-21 16:47:07"
53,"Fenix nº 01/12 (Nueva Edición)",https://www.buscalibre.cl/libro-fenix-n-01-12-nueva-edicion/9788491737001/p/50663112,1,"2020-09-21 16:47:09"
54,Adolf,https://www.buscalibre.cl/libro-adolf/9788415921455/p/34584545,1,"2020-09-21 16:47:11"
55,"Notas al pie de Gaza",https://www.buscalibre.cl/libro-notas-al-pie-de-gaza/9788439722526/p/3384329,1,"2020-09-21 16:47:14"
56,"Gorazde (nueva ediciï¿½n)",https://www.buscalibre.cl/libro-gorazde-nueva-edicii-n/9788415480969/p/46669708,1,"2020-09-21 16:47:16"
57,"Historias de Bosnia",https://www.buscalibre.cl/libro-historias-de-bosnia/9788416543601/p/47310060,1,"2020-09-21 16:47:18"
58,"Usagi Yojimbo 3",https://www.buscalibre.cl/libro-usagi-yojimbo-3/9788491730170/p/50663383,1,"2020-09-21 16:47:20"
59,37,https://www.buscalibre.cl/libro-37/9788416816446/p/49089121,1,"2020-09-21 16:47:23"
60,"Usagi Yojimbo 2",https://www.buscalibre.cl/libro-usagi-yojimbo-2/9788491467182/p/49180118,1,"2020-09-21 16:47:25"
61,"100 Balas Libro 01 (de 5)",https://www.buscalibre.cl/libro-100-balas-libro-01-de-5/9788418094491/p/52679864,1,"2020-09-21 16:47:28"
62,"Kobane Calling",https://www.buscalibre.cl/libro-kobane-calling/9788416709571/p/48078364,1,"2020-09-21 16:47:31"
63,"Ciencia Oscura Edición de Lujo 1. Manual de Entropía Para Principiantes",https://www.buscalibre.cl/libro-ciencia-oscura-edicion-de-lujo-1-manual-de-entropia-para-principiantes/9788467935097/p/51801216,1,"2020-09-21 16:47:33"
64,"Locke & key Omnibus 02",https://www.buscalibre.cl/libro-locke-key-omnibus-02/9788490946466/p/47497454,1,"2020-09-21 16:47:34"
65,"Criminal Integral 01",https://www.buscalibre.cl/libro-criminal-integral-01/9788490244401/p/31449620,1,"2020-09-21 16:47:37"
66,"Aidp, Integral 1",https://www.buscalibre.cl/libro-aidp-integral-1/9788467909937/p/17927181,1,"2020-09-21 16:47:40"
67,Alicia,https://www.buscalibre.cl/libro-alicia/9788426398550/p/46882530,1,"2020-09-21 16:47:41"
68,Barrera,https://www.buscalibre.cl/libro-barrera/9788417507466/p/52215138,1,"2020-09-21 16:47:42"
69,"Tintín Box. La Colección Completa",https://www.buscalibre.cl/libro-tintin-box-la-coleccion-completa/9788426144508/p/49027026,1,"2020-09-21 16:47:44"
70,"Donald Happiest Adventures",https://www.buscalibre.cl/libro-donald-happiest-adventures/9788491736868/p/50663120,1,"2020-09-21 16:47:46"
71,"Star Wars Omnibus Jason Aaron  nº 01",https://www.buscalibre.cl/libro-star-wars-omnibus-jason-aaron-n-01/9788491740230/p/52087733,1,"2020-09-21 16:47:48"
72,"Star Wars Darth Vader Omnibus",https://www.buscalibre.cl/libro-star-wars-darth-vader-omnibus/9788491740223/p/52153919,1,"2020-09-21 16:47:50"
73,"The Boys Integral Vol. 1",https://www.buscalibre.cl/libro-the-boys-integral-vol-1/9788467911381/p/28270663,1,"2020-09-21 16:47:51"
74,"Asalto al Hades, el",https://www.buscalibre.cl/libro-asalto-al-hades-el/9789873861062/p/51926092,1,"2020-09-21 16:47:54"
75,"Juan Solo (Integral)",https://www.buscalibre.cl/libro-juan-solo-integral/9788417125486/p/50279437,1,"2020-09-21 16:47:56"
76,"Los Pitufos. Integral 01",https://www.buscalibre.cl/libro-los-pitufos-integral-01/9788467924756/p/47864717,1,"2020-09-21 16:47:58"
77,"Los Malditos Nº 01",https://www.buscalibre.cl/libro-los-malditos-n-01/9788491467847/p/50035833,1,"2020-09-21 16:47:59"
78,"Estrella Distante",https://www.buscalibre.cl/libro-estrella-distante/9788417247096/p/50199162,1,"2020-09-21 16:48:01"
79,"From Hell",https://www.buscalibre.cl/libro-from-hell/9788415480846/p/27870866,1,"2020-09-21 16:48:03"
80,"Los Muertos Vivientes Integral nº1",https://www.buscalibre.cl/libro-los-muertos-vivientes-integral-n-1/9788468402772/p/4148775,1,"2020-09-21 16:48:04"
81,"1959 Metahulla #2",https://www.buscalibre.cl/libro-1959-metahulla-2/9789569994159/p/50661232,1,"2020-09-21 16:48:06"
82,"Los Fantastibulosos Mundos de Roald Dahl",https://www.buscalibre.cl/libro-los-fantastibulosos-mundos-de-roald-dahl/9788416773206/p/47857639,1,"2020-09-21 16:48:08"
83,"The League of Extraordinary Gentlemen nº 02",https://www.buscalibre.cl/libro-the-league-of-extraordinary-gentlemen-n-02/9788416636006/p/47794339,1,"2020-09-21 16:48:10"
84,"The League of Extraordinary Gentlemen nº 03",https://www.buscalibre.cl/libro-the-league-of-extraordinary-gentlemen-n-03/9788416636037/p/48006727,1,"2020-09-21 16:48:12"
85,"The League of Extraordinary Gentlemen nº 01",https://www.buscalibre.cl/libro-the-league-of-extraordinary-gentlemen-n-01/9788416543625/p/47340460,1,"2020-09-21 16:48:15"
86,"La Llamada de Cthulhu",https://www.buscalibre.cl/libro-la-llamada-de-cthulhu/9788445006467/p/51447421,1,"2020-09-21 16:48:16"
87,"De Animales a Dioses. Breve Historia de la Humanidad",https://www.buscalibre.cl/libro-de-animales-a-dioses-breve-historia-de-la-humanidad/9789569583933/p/47861303,1,"2020-09-21 16:48:19"
88,"American Gods",https://www.buscalibre.cl/libro-american-gods/9788415729204/p/34489513,1,"2020-09-21 16:48:21"
89,"Buenos Presagios",https://www.buscalibre.cl/libro-buenos-presagios/9789569957017/p/51505029,1,"2020-09-21 16:48:22"
90,Logia,https://www.buscalibre.cl/libro-logia/9786070732034/p/47258017,1,"2020-09-21 16:48:24"
91,"El Verbo Kaifman",https://www.buscalibre.cl/libro-el-verbo-kaifman/9789562478823/p/46343474,1,"2020-09-21 16:48:26"
92,"Cochrane vs. Cthulhu",https://www.buscalibre.cl/libro-cochrane-vs-cthulhu/9789569585340/p/48188553,1,"2020-09-21 16:48:28"
93,"Andinia. La Catedral Antartica",https://www.buscalibre.cl/libro-andinia-la-catedral-antartica/9789563601480/p/47477160,1,"2020-09-21 16:48:30"
94,"Cuentos Completos i  (Philip k. Dick ) (Bibliotecas de Autor)",https://www.buscalibre.cl/libro-cuentos-completos-i-philip-k-dick-bibliotecas-de-autor/9788445007211/p/52290979,1,"2020-09-21 16:48:32"
95,Ubik,https://www.buscalibre.cl/libro-ubik/9788445007372/p/52154637,1,"2020-09-21 16:48:34"
96,"Los Tres Estigmas de Palmer Eldritch",https://www.buscalibre.cl/libro-los-tres-estigmas-de-palmer-eldritch/9788445007150/p/52062116,1,"2020-09-21 16:48:36"
97,"La Penúltima Verdad",https://www.buscalibre.cl/libro-la-penultima-verdad/9788445007334/p/52290976,1,"2020-09-21 16:48:38"
98,"Cuentos Completos ii  (Philip k. Dick )",https://www.buscalibre.cl/libro-cuentos-completos-2/9788445007228/p/52430547,1,"2020-09-21 16:48:40"
99,"Fluyan mis Lï¿ ½Grimas, Dijo el Policï¿ ½A",https://www.buscalibre.cl/libro-fluyan-mis-li-grimas-dijo-el-polici-a/9788445006986/p/52009732,1,"2020-09-21 16:48:41"
100,"Crónicas Marcianas",https://www.buscalibre.cl/libro-cronicas-marcianas/9786070761546/p/52017183,1,"2020-09-21 16:48:44"
101,Dune,https://www.buscalibre.cl/libro-dune/9788497596824/p/1817778,1,"2020-09-21 16:48:45"
102,"El sol Desnudo",https://www.buscalibre.cl/libro-el-sol-desnudo/9788497937856/p/1801215,1,"2020-09-21 16:48:47"
103,"Los Robots del Amanecer",https://www.buscalibre.cl/libro-los-robots-del-amanecer/9788497599559/p/1068199,1,"2020-09-21 16:48:52"
104,"Monster Kanzenban nº 01",https://www.buscalibre.cl/libro-monster-kanzenban-n-01/9788467476613/p/2863437,1,"2020-09-21 16:48:54"
105,"Monster Kanzenban nº 02",https://www.buscalibre.cl/libro-monster-kanzenban-n-02/9788467476620/p/2863674,1,"2020-09-21 16:48:56"
106,"Dragon Head nº 01/05",https://www.buscalibre.cl/libro-dragon-head-n-01-05/9788491734857/p/52088145,1,"2020-09-21 16:48:58"
107,"Hanzô: El camino del asesino: Hanzô 1 - 2ª ed.",https://www.buscalibre.cl/libro-hanzo-el-camino-del-asesino-hanzo-1-2-ed/9788416840656/p/48799299,1,"2020-09-21 16:49:01"
108,"Dragon Head nº 02/05",https://www.buscalibre.cl/libro-dragon-head-n-02-05/9788413410166/p/52388584,1,"2020-09-21 16:49:03"
109,"La Chica a la Orilla del mar 01",https://www.buscalibre.cl/libro-la-chica-a-la-orilla-del-mar-01/9788494087486/p/38211671,1,"2020-09-21 16:49:05"
110,"La Chica a la Orilla del mar 2",https://www.buscalibre.cl/libro-la-chica-a-la-orilla-del-mar-2/9788494087493/p/40340360,1,"2020-09-21 16:49:08"
111,"Pluto nº 01/08 (Nueva Edicion)",https://www.buscalibre.cl/libro-pluto-n-01-08-nueva-edicion/9788491460299/p/48005476,1,"2020-09-21 16:49:10"
112,"3 x 3 Eyes 01",https://www.buscalibre.cl/libro-3-x-3-eyes-01/9788417777906/p/51650696,1,"2020-09-21 16:49:12"
113,"Lobo Solitario y su Cachorro 1",https://www.buscalibre.cl/libro-lobo-solitario-y-su-cachorro-1/9788416693177/p/47310165,1,"2020-09-21 16:49:15"
114,"El Puño de la Estrella del Norte (Hokuto no Ken) nº 05/18",https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-05-18/9788413410661/p/52672440,1,"2020-09-21 16:49:16"
115,"El Puño de la Estrella del Norte (Hokuto no Ken) nº 04/18",https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-04-18/9788413410654/p/52388617,1,"2020-09-21 16:49:19"
116,"El Puño de la Estrella del Norte (Hokuto no Ken) nº 04/18",https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-04-18/9788413410654/p/52388617,1,"2020-09-21 16:49:22"
117,"El Puño de la Estrella del Norte 2",https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-2/9788491738992/p/51919025,1,"2020-09-21 16:49:25"
118,"El Puño de la Estrella del Norte (Hokuto no Ken) nº 01",https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-01/9788491738985/p/51447622,1,"2020-09-21 16:49:27"
119,"La Espada del Inmortal nº 05/15",https://www.buscalibre.cl/libro-la-espada-del-inmortal-n-05-15/9788491468462/p/50630469,1,"2020-09-21 16:49:30"
120,"La Espada del Inmortal Kanzenban nº 04/15",https://www.buscalibre.cl/libro-la-espada-del-inmortal-kanzenban-n-04-15/9788491468455/p/50036028,1,"2020-09-21 16:49:32"
121,"La Espada del Inmortal nº 03/15",https://www.buscalibre.cl/libro-la-espada-del-inmortal-n-03-15/9788491467724/p/50035801,1,"2020-09-21 16:49:34"
122,"La Espada del Inmortal Kanzenban nº 02/15",https://www.buscalibre.cl/libro-la-espada-del-inmortal-kanzenban-n-02-15/9788491467137/p/49584292,1,"2020-09-21 16:49:37"
123,"La Espada del Inmortal nº 01/15",https://www.buscalibre.cl/libro-la-espada-del-inmortal-n-01-15/9788491465799/p/49103963,1,"2020-09-21 16:49:40"
124,"Obra Completa: Estuche Con: Sapiens | Homo Deus | 21 Lecciones Para el Siglo Xxi: 18041 (Historia)",https://www.buscalibre.cl/libro-obra-completa-estuche-con-sapiens-homo-deus-21-lecciones-para-el-siglo-xxi-18041-historia/9788417636845/p/52135284,1,"2020-09-21 16:49:42"
125,"Código Limpio",https://www.buscalibre.cl/libro-codigo-limpio/9788441532106/p/9257665,1,"2020-09-21 16:49:45"
126,"El Castillo de las Estrellas 01. 1869 la Conquista del Espacio",https://www.buscalibre.cl/libro-el-castillo-de-las-estrellas-01-1869-la-conquista-del-espacio/9788467918779/p/46476857,1,"2020-09-21 16:49:48"
127,Sangri-la,https://www.buscalibre.cl/libro-sangri-la/9788416507818/p/48959550,1,"2020-09-21 16:49:50"
128,"Blacksad 02: Arctic Nation",https://www.buscalibre.cl/libro-blacksad-02-arctic-nation/9788484317326/p/1957605,1,"2020-09-21 16:49:53"
129,"Thorgal. Integral 1",https://www.buscalibre.cl/libro-thorgal-integral-1/9788467938180/p/51971990,1,"2020-09-21 16:49:55"
130,"Erase una vez en Francia 01",https://www.buscalibre.cl/libro-erase-una-vez-en-francia-01/9788467910988/p/28270644,1,"2020-09-21 16:49:57"
131,"Los Surcos del Azar. Edición Ampliada [Próxima Aparición]",https://www.buscalibre.cl/libro-los-surcos-del-azar-edicion-ampliada-proxima-aparicion/9788417575199/p/51648864,1,"2020-09-21 16:50:01"
132,"Lydie Edicion Especial",https://www.buscalibre.cl/libro-lydie-edicion-especial/9788467920871/p/47043828,1,"2020-09-21 16:50:04"
133,"Jamás Tendré 20 Años.",https://www.buscalibre.cl/libro-jamas-tendre-20-anos/9788467924701/p/47867525,1,"2020-09-21 16:50:07"
134,"March. Una Cronica de la Lucha por los Derechos Civiles de los Afroamericanos",https://www.buscalibre.cl/libro-march-una-cronica-de-la-lucha-por-los-derechos-civiles-de-los-afroamericanos/9788467930498/p/50084344,1,"2020-09-21 16:50:09"
135,"Esta Parte me Encanta",https://www.buscalibre.cl/libro-esta-parte-me-encanta/9789585942943/p/51615244,1,"2020-09-21 16:50:11"
136,"En un Rayo de sol 2ª Parte",https://www.buscalibre.cl/libro-en-un-rayo-de-sol-2-parte/9788417442385/p/51538659,1,"2020-09-21 16:50:14"
137,"En un Rayo de sol #1 Parte",https://www.buscalibre.cl/libro-en-un-rayo-de-sol-1-parte/9788417442330/p/51431000,1,"2020-09-21 16:50:18"
138,Piruetas,https://www.buscalibre.cl/libro-piruetas/9788416400812/p/49088450,1,"2020-09-21 16:50:20"
139,"Me Estas Escuchando?",https://www.buscalibre.cl/libro-me-estas-escuchando/9788417442620/p/52792017,1,"2020-09-21 16:50:22"
140,"Frankenstein (Nueva Edición) (Novela Gráfica)",https://www.buscalibre.cl/libro-frankenstein-nueva-edicion-novela-grafica/9788413412344/p/52802878,1,"2020-09-21 16:50:24"
141,"Sleeper: Integral",https://www.buscalibre.cl/libro-sleeper-integral/9788418120077/p/52680412,1,"2020-09-21 16:50:26"
142,"La Inocencia del Nihilismo",https://www.buscalibre.cl/libro-la-inocencia-del-nihilismo/9788417442057/p/50413304,1,"2020-09-21 16:50:28"
143,"Queen and Country 1",https://www.buscalibre.cl/libro-queen-and-country-1/9788416090815/p/46509140,1,"2020-09-21 16:50:30"
