id,name,reg_date,img_url,reference_price,id_category
97,"La Penúltima Verdad","2020-09-21 16:48:38",NULL,NULL,1
98,"Cuentos Completos ii  (Philip k. Dick )","2020-09-21 16:48:40",NULL,NULL,1
99,"Fluyan mis Lï¿ ½Grimas, Dijo el Policï¿ ½A","2020-09-21 16:48:41",NULL,NULL,1
100,"Crónicas Marcianas","2020-09-21 16:48:44",NULL,NULL,1
102,"El sol Desnudo","2020-09-21 16:48:47",NULL,NULL,1
103,"Los Robots del Amanecer","2020-09-21 16:48:52",NULL,NULL,1
104,"Monster Kanzenban nº 01","2020-09-21 16:48:54",NULL,NULL,1
105,"Monster Kanzenban nº 02","2020-09-21 16:48:56",NULL,NULL,1
106,"Dragon Head nº 01/05","2020-09-21 16:48:58",NULL,NULL,1
107,"Hanzô: El camino del asesino: Hanzô 1 - 2ª ed.","2020-09-21 16:49:01",NULL,NULL,1
108,"Dragon Head nº 02/05","2020-09-21 16:49:03",NULL,NULL,1
109,"La Chica a la Orilla del mar 01","2020-09-21 16:49:05",NULL,NULL,1
110,"La Chica a la Orilla del mar 2","2020-09-21 16:49:08",NULL,NULL,1
111,"Pluto nº 01/08 (Nueva Edicion)","2020-09-21 16:49:10",NULL,NULL,1
112,"3 x 3 Eyes 01","2020-09-21 16:49:12",NULL,NULL,1
113,"Lobo Solitario y su Cachorro 1","2020-09-21 16:49:15",NULL,NULL,1
124,"Obra Completa: Estuche Con: Sapiens | Homo Deus | 21 Lecciones Para el Siglo Xxi: 18041 (Historia)","2020-09-21 16:49:42",NULL,NULL,1
125,"Código Limpio","2020-09-21 16:49:45",NULL,NULL,1
126,"El Castillo de las Estrellas 01. 1869 la Conquista del Espacio","2020-09-21 16:49:48",NULL,NULL,1
127,Sangri-la,"2020-09-21 16:49:50",NULL,NULL,1
128,"Blacksad 02: Arctic Nation","2020-09-21 16:49:53",NULL,NULL,1
129,"Thorgal. Integral 1","2020-09-21 16:49:55",NULL,NULL,1
131,"Los Surcos del Azar. Edición Ampliada [Próxima Aparición]","2020-09-21 16:50:01",NULL,NULL,1
132,"Lydie Edicion Especial","2020-09-21 16:50:04",NULL,NULL,1
133,"Jamás Tendré 20 Años.","2020-09-21 16:50:07",NULL,NULL,1
134,"March. Una Cronica de la Lucha por los Derechos Civiles de los Afroamericanos","2021-02-26 17:58:00",NULL,NULL,7
135,"Esta Parte me Encanta","2021-02-26 17:58:00",NULL,NULL,7
136,"En un Rayo de sol 2ª Parte","2021-02-26 17:58:00",NULL,NULL,7
137,"En un Rayo de sol #1 Parte","2021-02-26 17:58:00",NULL,NULL,7
138,Piruetas,"2021-02-26 17:58:00",NULL,NULL,7
139,"Me Estas Escuchando?","2021-02-26 17:58:00",NULL,NULL,7
140,"Frankenstein (Nueva Edición) (Novela Gráfica)","2021-02-26 17:58:00",NULL,NULL,7
141,"Sleeper: Integral","2021-02-26 17:58:00",NULL,NULL,7
142,"La Inocencia del Nihilismo","2021-02-26 17:58:00",NULL,NULL,7
143,"Queen and Country 1","2021-02-26 17:58:00",NULL,NULL,7
148,"Blackest Night Omnibus (10Th Anniversary) (libro en Inglés)","2020-09-21 16:50:42",NULL,NULL,1
150,"Batman: Knightfall Omnibus Vol. 1 (libro en Inglés)","2020-09-21 16:50:47",NULL,NULL,1
151,"Absolute Justice League the World's Greatest Superheroes by Alex Ross &Paul Dini: The World's Greatest Superheroes by Alex Ross and Paul (libro en Inglés)","2020-09-21 17:01:31",NULL,NULL,1
152,"The Absolute Sandman, Vol. 1 (libro en Inglés)","2020-09-21 17:01:33",NULL,NULL,1
154,"Viaje al Centro de la Tierra","2020-09-21 17:01:38",NULL,NULL,1
155,"the complete book of origami,step-by-step instructions in over 1000 diagrams/37 original models","2020-09-21 17:01:40",NULL,NULL,1
156,"origami under the sea","2020-09-21 17:01:43",NULL,NULL,1
